2022, 06, 22, 06, 31, 05.153, 20, 32, 40.32, 09, 57, 22.12, -9.607647111921610E-03,  9.324110816875388E-01,  4.041922247069322E-01
2022, 06, 28, 06, 16, 54.039, 20, 13, 02.64, 1, 53, 25.3, -1.107930989776893E-01,  9.271850747522360E-01,  4.019311148736071E-01
2022, 07, 09, 06, 13, 00.790, 19, 40, 52.65, -10, 54, 46.7, -2.928843900898364E-01,  8.932342381331949E-01,  3.872131238986623E-01
6.215039049769225E-01,  7.306107008352802E-01,  2.357780614665885E+01,  1.159432457005039E+02,  6.730689991558867E+01,  2.459681438769642E+06,  3.675082861753255E-01,  2.841683105505548E+01,  9.890751181802672E+01,  1.930299177302566E+00,  3.129987653769852E+00,  9.795697499681853E+02, 0, 0, 0

